Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
December,2005,New Zealand ,Australia,AMI Stadium,New Zealand ,1,New Zealand,Australia
May,2005,West Indies ,Pakistan,Arnos Vale Ground,Pakistan ,0,West Indies,Pakistan
March,2005,New Zealand ,Australia,Basin Reserve,Australia ,0,New Zealand,Australia
January,2005,Australia ,Pakistan,Bellerive Oval,Australia ,1,Australia,Pakistan
January,2005,Pakistan ,West Indies,Brisbane Cricket Ground,Pakistan ,1,Pakistan,West Indies
February,2005,South Africa ,England,Buffalo Park,South Africa ,1,South Africa,England
June,2005,England ,Australia,County Ground ,England ,1,England,Australia
May,2005,West Indies ,Pakistan,Darren Sammy National Cricket Stadium,Pakistan ,0,West Indies,Pakistan
May,2005,West Indies ,Pakistan,Darren Sammy National Cricket Stadium,Pakistan ,0,West Indies,Pakistan
April,2005,India ,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,India ,1,India,Pakistan
November,2005,India ,South Africa,Eden Gardens,South Africa ,0,India,South Africa
February,2005,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
December,2005,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
April,2005,India ,Pakistan,Feroz Shah Kotla,Pakistan ,0,India,Pakistan
December,2005,Pakistan ,England,Gaddafi Stadium,Pakistan ,1,Pakistan,England
December,2005,Pakistan ,England,Gaddafi Stadium,England ,0,Pakistan,England
April,2005,India ,Pakistan,Green Park,Pakistan ,0,India,Pakistan
September,2005,India ,New Zealand,Harare Sports Club,India ,1,India,New Zealand
September,2005,India ,New Zealand,Harare Sports Club,New Zealand ,0,India,New Zealand
June,2005,England ,Bangladesh,Headingley,England ,1,England,Bangladesh
July,2005,England ,Australia,Headingley,England ,1,England,Australia
April,2005,India ,Pakistan,Keenan Stadium,Pakistan ,0,India,Pakistan
July,2005,England ,Australia,Kennington Oval,Australia ,0,England,Australia
June,2005,England ,Bangladesh,Kennington Oval,England ,1,England,Bangladesh
May,2005,West Indies ,South Africa,Kensington Oval,South Africa ,0,West Indies,South Africa
July,2005,England ,Australia,Lord's,Australia ,0,England,Australia
November,2005,India ,South Africa,M Chinnaswamy Stadium,India ,1,India,South Africa
November,2005,India ,Sri Lanka,Madhavrao Scindia Cricket Ground,India ,1,India,Sri Lanka
October,2005,South Africa ,New Zealand,Mangaung Oval,South Africa ,1,South Africa,New Zealand
March,2005,New Zealand ,Australia,McLean Park,Australia ,0,New Zealand,Australia
January,2005,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
February,2005,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
December,2005,Pakistan ,England,National Stadium,Pakistan ,1,Pakistan,England
April,2005,India ,Pakistan,Nehru Stadium ,India ,1,India,Pakistan
November,2005,India ,Sri Lanka,Nehru Stadium ,India ,1,India,Sri Lanka
February,2005,South Africa ,England,Newlands,South Africa ,1,South Africa,England
October,2005,South Africa ,New Zealand,Newlands,South Africa ,1,South Africa,New Zealand
June,2005,Australia ,Bangladesh,Old Trafford,Australia ,1,Australia,Bangladesh
October,2005,India ,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,India ,1,India,Sri Lanka
May,2005,West Indies ,South Africa,Queen's Park Oval,South Africa ,0,West Indies,South Africa
May,2005,West Indies ,South Africa,Queen's Park Oval,South Africa ,0,West Indies,South Africa
August,2005,India ,New Zealand,Queens Sports Club,New Zealand ,0,India,New Zealand
December,2005,New Zealand ,Sri Lanka,Queenstown Events Centre,New Zealand ,1,New Zealand,Sri Lanka
August,2005,India ,West Indies,R Premadasa Stadium,India ,1,India,West Indies
August,2005,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
September,2005,Sri Lanka ,Bangladesh,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Bangladesh
September,2005,Sri Lanka ,Bangladesh,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Bangladesh
August,2005,Sri Lanka ,West Indies,R Premadasa Stadium,West Indies ,0,Sri Lanka,West Indies
November,2005,India ,South Africa,Rajiv Gandhi International Stadium,South Africa ,0,India,South Africa
July,2005,India ,West Indies,Rangiri Dambulla International Stadium,India ,1,India,West Indies
July,2005,Sri Lanka ,India,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,India
August,2005,Sri Lanka ,West Indies,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,West Indies
August,2005,Sri Lanka ,India,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,India
December,2005,Pakistan ,England,Rawalpindi Cricket Stadium,Pakistan ,1,Pakistan,England
December,2005,Pakistan ,England,Rawalpindi Cricket Stadium,England ,0,Pakistan,England
November,2005,India ,Sri Lanka,Reliance Stadium,India ,1,India,Sri Lanka
June,2005,England ,Australia,Riverside Ground,Australia ,0,England,Australia
May,2005,West Indies ,South Africa,Sabina Park,South Africa ,0,West Indies,South Africa
May,2005,West Indies ,South Africa,Sabina Park,South Africa ,0,West Indies,South Africa
April,2005,India ,Pakistan,Sardar Patel Stadium,Pakistan ,0,India,Pakistan
November,2005,India ,Sri Lanka,Sardar Patel Stadium,Sri Lanka ,0,India,Sri Lanka
October,2005,India ,Sri Lanka,Sawai Mansingh Stadium,India ,1,India,Sri Lanka
August,2005,Sri Lanka ,Bangladesh,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,Bangladesh
June,2005,Australia ,Bangladesh,Sophia Gardens,Bangladesh ,0,Australia,Bangladesh
February,2005,South Africa ,England,St George's Park,South Africa ,1,South Africa,England
October,2005,South Africa ,New Zealand,St George's Park,South Africa ,1,South Africa,New Zealand
June,2005,Australia ,Bangladesh,St Lawrence Ground,Australia ,1,Australia,Bangladesh
February,2005,South Africa ,England,SuperSport Park,South Africa ,1,South Africa,England
November,2005,South Africa ,New Zealand,SuperSport Park,South Africa ,1,South Africa,New Zealand
January,2005,Australia ,Pakistan,Sydney Cricket Ground,Australia ,1,Australia,Pakistan
February,2005,Australia ,Pakistan,Sydney Cricket Ground,Australia ,1,Australia,Pakistan
June,2005,England ,Bangladesh,Trent Bridge,England ,1,England,Bangladesh
October,2005,India ,Sri Lanka,Vidarbha Cricket Association Ground,India ,1,India,Sri Lanka
January,2005,Australia ,Pakistan,WACA Ground,Pakistan ,0,Australia,Pakistan
February,2005,Pakistan ,West Indies,WACA Ground,Pakistan ,1,Pakistan,West Indies
January,2005,South Africa ,England,Wanderers Stadium,England ,0,South Africa,England
November,2005,India ,South Africa,Wankhede Stadium,India ,1,India,South Africa
February,2005,New Zealand ,Australia,Westpac Stadium,Australia ,0,New Zealand,Australia
December,2005,New Zealand ,Australia,Westpac Stadium,Australia ,0,New Zealand,Australia
January,2006,Australia ,Sri Lanka,Adelaide Oval,Australia ,1,Australia,Sri Lanka
January,2006,South Africa ,Sri Lanka,Adelaide Oval,South Africa ,1,South Africa,Sri Lanka
February,2006,Australia ,Sri Lanka,Adelaide Oval,Sri Lanka ,0,Australia,Sri Lanka
January,2006,New Zealand ,Sri Lanka,AMI Stadium,New Zealand ,1,New Zealand,Sri Lanka
February,2006,New Zealand ,West Indies,AMI Stadium,New Zealand ,1,New Zealand,West Indies
February,2006,Pakistan ,India,Arbab Niaz Stadium,Pakistan ,1,Pakistan,India
February,2006,South Africa ,Sri Lanka,Bellerive Oval,Sri Lanka ,0,South Africa,Sri Lanka
November,2006,Australia ,West Indies,Brabourne Stadium,Australia ,1,Australia,West Indies
October,2006,New Zealand ,South Africa,Brabourne Stadium,New Zealand ,1,New Zealand,South Africa
October,2006,Sri Lanka ,West Indies,Brabourne Stadium,Sri Lanka ,1,Sri Lanka,West Indies
October,2006,New Zealand ,Sri Lanka,Brabourne Stadium,Sri Lanka ,0,New Zealand,Sri Lanka
October,2006,Australia ,West Indies,Brabourne Stadium,West Indies ,0,Australia,West Indies
February,2006,Australia ,Sri Lanka,Brisbane Cricket Ground,Australia ,1,Australia,Sri Lanka
January,2006,Australia ,South Africa,Brisbane Cricket Ground,South Africa ,0,Australia,South Africa
January,2006,South Africa ,Sri Lanka,Brisbane Cricket Ground,Sri Lanka ,0,South Africa,Sri Lanka
March,2006,New Zealand ,West Indies,Eden Park,West Indies ,0,New Zealand,West Indies
September,2006,England ,Pakistan,Edgbaston,England ,1,England,Pakistan
January,2006,Australia ,Sri Lanka,Etihad Stadium,Australia ,1,Australia,Sri Lanka
January,2006,Australia ,South Africa,Etihad Stadium,Australia ,1,Australia,South Africa
February,2006,Australia ,South Africa,Etihad Stadium,Australia ,1,Australia,South Africa
March,2006,India ,England,Feroz Shah Kotla,India ,1,India,England
February,2006,Pakistan ,India,Gaddafi Stadium,India ,0,Pakistan,India
December,2006,Pakistan ,West Indies,Gaddafi Stadium,Pakistan ,1,Pakistan,West Indies
July,2006,England ,Sri Lanka,Headingley,Sri Lanka ,0,England,Sri Lanka
April,2006,India ,England,Holkar Cricket Stadium,India ,1,India,England
December,2006,Pakistan ,West Indies,Iqbal Stadium,Pakistan ,1,Pakistan,West Indies
April,2006,India ,England,Keenan Stadium,England ,0,India,England
June,2006,England ,Sri Lanka,Kennington Oval,Sri Lanka ,0,England,Sri Lanka
April,2006,Bangladesh ,Australia,Khan Shaheb Osman Ali Stadium,Australia ,0,Bangladesh,Australia
April,2006,Bangladesh ,Australia,Khan Shaheb Osman Ali Stadium,Australia ,0,Bangladesh,Australia
March,2006,South Africa ,Australia,Kingsmead,Australia ,0,South Africa,Australia
November,2006,South Africa ,India,Kingsmead,South Africa ,1,South Africa,India
September,2006,Australia ,West Indies,Kinrara Academy Oval,Australia ,1,Australia,West Indies
September,2006,Australia ,India,Kinrara Academy Oval,Australia ,1,Australia,India
September,2006,Australia ,West Indies,Kinrara Academy Oval,Australia ,1,Australia,West Indies
September,2006,India ,West Indies,Kinrara Academy Oval,India ,1,India,West Indies
September,2006,India ,West Indies,Kinrara Academy Oval,West Indies ,0,India,West Indies
September,2006,Australia ,West Indies,Kinrara Academy Oval,West Indies ,0,Australia,West Indies
September,2006,England ,Pakistan,Lord's,Pakistan ,0,England,Pakistan
June,2006,England ,Sri Lanka,Lord's,Sri Lanka ,0,England,Sri Lanka
March,2006,New Zealand ,West Indies,McLean Park,New Zealand ,1,New Zealand,West Indies
January,2006,New Zealand ,Sri Lanka,McLean Park,Sri Lanka ,0,New Zealand,Sri Lanka
December,2006,New Zealand ,Sri Lanka,McLean Park,Sri Lanka ,0,New Zealand,Sri Lanka
February,2006,Pakistan ,India,Multan Cricket Stadium,India ,0,Pakistan,India
December,2006,Pakistan ,West Indies,Multan Cricket Stadium,West Indies ,0,Pakistan,West Indies
March,2006,India ,England,Nahar Singh Stadium,India ,1,India,England
February,2006,Pakistan ,India,National Stadium,India ,0,Pakistan,India
December,2006,Pakistan ,West Indies,National Stadium,Pakistan ,1,Pakistan,West Indies
April,2006,India ,England,Nehru Stadium ,India ,1,India,England
April,2006,India ,England,Nehru Stadium ,India ,1,India,England
March,2006,South Africa ,Australia,Newlands,South Africa ,1,South Africa,Australia
November,2006,South Africa ,India,Newlands,South Africa ,1,South Africa,India
June,2006,England ,Sri Lanka,Old Trafford,Sri Lanka ,0,England,Sri Lanka
October,2006,India ,Australia,Punjab Cricket Association IS Bindra Stadium,Australia ,0,India,Australia
November,2006,Australia ,New Zealand,Punjab Cricket Association IS Bindra Stadium,Australia ,1,Australia,New Zealand
October,2006,New Zealand ,Pakistan,Punjab Cricket Association IS Bindra Stadium,New Zealand ,1,New Zealand,Pakistan
October,2006,Pakistan ,South Africa,Punjab Cricket Association IS Bindra Stadium,South Africa ,0,Pakistan,South Africa
October,2006,Sri Lanka ,Bangladesh,Punjab Cricket Association IS Bindra Stadium,Sri Lanka ,1,Sri Lanka,Bangladesh
May,2006,West Indies ,India,Queen's Park Oval,West Indies ,1,West Indies,India
May,2006,West Indies ,India,Queen's Park Oval,West Indies ,1,West Indies,India
February,2006,New Zealand ,West Indies,Queenstown Events Centre,New Zealand ,1,New Zealand,West Indies
December,2006,New Zealand ,Sri Lanka,Queenstown Events Centre,New Zealand ,1,New Zealand,Sri Lanka
March,2006,Sri Lanka ,Pakistan,R Premadasa Stadium,Pakistan ,0,Sri Lanka,Pakistan
February,2006,Pakistan ,India,Rawalpindi Cricket Stadium,India ,0,Pakistan,India
June,2006,England ,Sri Lanka,Riverside Ground,Sri Lanka ,0,England,Sri Lanka
May,2006,West Indies ,India,Sabina Park,India ,0,West Indies,India
May,2006,West Indies ,India,Sabina Park,West Indies ,1,West Indies,India
October,2006,South Africa ,Sri Lanka,Sardar Patel Stadium,South Africa ,1,South Africa,Sri Lanka
October,2006,India ,West Indies,Sardar Patel Stadium,West Indies ,0,India,West Indies
October,2006,England ,West Indies,Sardar Patel Stadium,England ,1,England,West Indies
October,2006,Australia ,England,Sawai Mansingh Stadium,Australia ,1,Australia,England
October,2006,India ,England,Sawai Mansingh Stadium,India ,1,India,England
October,2006,Pakistan ,Sri Lanka,Sawai Mansingh Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,2006,Bangladesh ,West Indies,Sawai Mansingh Stadium,West Indies ,0,Bangladesh,West Indies
November,2006,South Africa ,West Indies,Sawai Mansingh Stadium,West Indies ,0,South Africa,West Indies
February,2006,Bangladesh ,Sri Lanka,Shaheed Chandu Stadium,Bangladesh ,1,Bangladesh,Sri Lanka
February,2006,Bangladesh ,Sri Lanka,Shaheed Chandu Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
April,2006,India ,Pakistan,Sheikh Zayed Stadium,India ,1,India,Pakistan
April,2006,India ,Pakistan,Sheikh Zayed Stadium,Pakistan ,0,India,Pakistan
March,2006,Sri Lanka ,Pakistan,Sinhalese Sports Club Ground,Pakistan ,0,Sri Lanka,Pakistan
March,2006,South Africa ,Australia,St George's Park,Australia ,0,South Africa,Australia
November,2006,South Africa ,India,St George's Park,South Africa ,1,South Africa,India
February,2006,South Africa ,Australia,SuperSport Park,South Africa ,1,South Africa,Australia
December,2006,South Africa ,India,SuperSport Park,South Africa ,1,South Africa,India
February,2006,Australia ,South Africa,Sydney Cricket Ground,Australia ,1,Australia,South Africa
February,2006,Australia ,Sri Lanka,Sydney Cricket Ground,Australia ,1,Australia,Sri Lanka
January,2006,Australia ,Sri Lanka,Sydney Cricket Ground,Sri Lanka ,0,Australia,Sri Lanka
September,2006,England ,Pakistan,The Rose Bowl,Pakistan ,0,England,Pakistan
September,2006,England ,Pakistan,Trent Bridge,England ,1,England,Pakistan
January,2006,Australia ,Sri Lanka,WACA Ground,Australia ,1,Australia,Sri Lanka
January,2006,South Africa ,Sri Lanka,WACA Ground,South Africa ,1,South Africa,Sri Lanka
March,2006,South Africa ,Australia,Wanderers Stadium,South Africa ,1,South Africa,Australia
May,2006,West Indies ,India,Warner Park,West Indies ,1,West Indies,India
January,2006,New Zealand ,Sri Lanka,Westpac Stadium,New Zealand ,1,New Zealand,Sri Lanka
February,2006,New Zealand ,West Indies,Westpac Stadium,New Zealand ,1,New Zealand,West Indies
April,2006,Bangladesh ,Australia,Zahur Ahmed Chowdhury Stadium,Australia ,0,Bangladesh,Australia
February,2006,Bangladesh ,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
January,2007,Australia ,England,Adelaide Oval,Australia ,1,Australia,England
December,2007,Australia ,New Zealand,Adelaide Oval,Australia ,1,Australia,New Zealand
January,2007,England ,New Zealand,Adelaide Oval,New Zealand ,0,England,New Zealand
January,2007,New Zealand ,Sri Lanka,AMI Stadium,New Zealand ,1,New Zealand,Sri Lanka
January,2007,India ,West Indies,Barabati Stadium,India ,1,India,West Indies
January,2007,Australia ,New Zealand,Bellerive Oval,Australia ,1,Australia,New Zealand
December,2007,Australia ,New Zealand,Bellerive Oval,Australia ,1,Australia,New Zealand
January,2007,England ,New Zealand,Bellerive Oval,England ,1,England,New Zealand
January,2007,Australia ,England,Brisbane Cricket Ground,Australia ,1,Australia,England
February,2007,England ,New Zealand,Brisbane Cricket Ground,England ,1,England,New Zealand
November,2007,India ,Pakistan,Captain Roop Singh Stadium,India ,1,India,Pakistan
June,2007,India ,South Africa,Civil Service Cricket Club,India ,1,India,South Africa
July,2007,India ,South Africa,Civil Service Cricket Club,India ,1,India,South Africa
June,2007,India ,South Africa,Civil Service Cricket Club,South Africa ,0,India,South Africa
August,2007,England ,India,County Ground ,India ,0,England,India
April,2007,Australia ,South Africa,Darren Sammy National Cricket Stadium,Australia ,1,Australia,South Africa
March,2007,England ,New Zealand,Darren Sammy National Cricket Stadium,New Zealand ,0,England,New Zealand
February,2007,India ,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,India ,1,India,Sri Lanka
February,2007,New Zealand ,Australia,Eden Park,New Zealand ,1,New Zealand,Australia
December,2007,New Zealand ,Bangladesh,Eden Park,New Zealand ,1,New Zealand,Bangladesh
January,2007,New Zealand ,Sri Lanka,Eden Park,Sri Lanka ,0,New Zealand,Sri Lanka
July,2007,England ,West Indies,Edgbaston,West Indies ,0,England,West Indies
August,2007,England ,India,Edgbaston,England ,1,England,India
October,2007,Pakistan ,South Africa,Gaddafi Stadium,Pakistan ,1,Pakistan,South Africa
October,2007,Pakistan ,South Africa,Gaddafi Stadium,South Africa ,0,Pakistan,South Africa
October,2007,Pakistan ,South Africa,Gaddafi Stadium,South Africa ,0,Pakistan,South Africa
November,2007,India ,Pakistan,Green Park,India ,1,India,Pakistan
September,2007,England ,India,Headingley,India ,0,England,India
October,2007,Pakistan ,South Africa,Iqbal Stadium,Pakistan ,1,Pakistan,South Africa
September,2007,England ,India,Kennington Oval,India ,0,England,India
April,2007,Australia ,Sri Lanka,Kensington Oval,Australia ,1,Australia,Sri Lanka
April,2007,England ,South Africa,Kensington Oval,South Africa ,0,England,South Africa
April,2007,West Indies ,Bangladesh,Kensington Oval,West Indies ,1,West Indies,Bangladesh
April,2007,Bangladesh ,England,Kensington Oval,England ,0,Bangladesh,England
April,2007,West Indies ,England,Kensington Oval,England ,0,West Indies,England
February,2007,South Africa ,Pakistan,Kingsmead,Pakistan ,0,South Africa,Pakistan
November,2007,South Africa ,New Zealand,Kingsmead,South Africa ,1,South Africa,New Zealand
July,2007,England ,West Indies,Lord's,England ,1,England,West Indies
September,2007,England ,India,Lord's,England ,1,England,India
January,2007,India ,West Indies,MA Chidambaram Stadium,West Indies ,0,India,West Indies
February,2007,India ,Sri Lanka,Madhavrao Scindia Cricket Ground,Sri Lanka ,0,India,Sri Lanka
December,2007,New Zealand ,Bangladesh,McLean Park,New Zealand ,1,New Zealand,Bangladesh
January,2007,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
February,2007,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
February,2007,Australia ,England,Melbourne Cricket Ground,England ,0,Australia,England
October,2007,Pakistan ,South Africa,Multan Cricket Stadium,South Africa ,0,Pakistan,South Africa
April,2007,Australia ,Sri Lanka,National Cricket Stadium,Australia ,1,Australia,Sri Lanka
April,2007,Australia ,New Zealand,National Cricket Stadium,Australia ,1,Australia,New Zealand
April,2007,New Zealand ,South Africa,National Cricket Stadium,New Zealand ,1,New Zealand,South Africa
April,2007,West Indies ,South Africa,National Cricket Stadium,South Africa ,0,West Indies,South Africa
April,2007,New Zealand ,Sri Lanka,National Cricket Stadium,Sri Lanka ,0,New Zealand,Sri Lanka
November,2007,India ,Pakistan,Nehru Stadium ,India ,1,India,Pakistan
October,2007,India ,Australia,Nehru Stadium ,Australia ,0,India,Australia
February,2007,India ,Sri Lanka,Nehru Stadium ,India ,1,India,Sri Lanka
February,2007,South Africa ,Pakistan,Newlands,South Africa ,1,South Africa,Pakistan
December,2007,South Africa ,New Zealand,Newlands,South Africa ,1,South Africa,New Zealand
August,2007,England ,India,Old Trafford,England ,1,England,India
July,2007,Sri Lanka ,Bangladesh,P Sara Oval,Sri Lanka ,1,Sri Lanka,Bangladesh
April,2007,Bangladesh ,South Africa,Providence Stadium,Bangladesh ,1,Bangladesh,South Africa
March,2007,South Africa ,Sri Lanka,Providence Stadium,South Africa ,1,South Africa,Sri Lanka
April,2007,West Indies ,Sri Lanka,Providence Stadium,Sri Lanka ,0,West Indies,Sri Lanka
November,2007,India ,Pakistan,Punjab Cricket Association IS Bindra Stadium,Pakistan ,0,India,Pakistan
March,2007,Bangladesh ,India,Queen's Park Oval,Bangladesh ,1,Bangladesh,India
March,2007,Bangladesh ,Sri Lanka,Queen's Park Oval,Sri Lanka ,0,Bangladesh,Sri Lanka
March,2007,India ,Sri Lanka,Queen's Park Oval,Sri Lanka ,0,India,Sri Lanka
December,2007,New Zealand ,Bangladesh,Queenstown Events Centre,New Zealand ,1,New Zealand,Bangladesh
July,2007,Sri Lanka ,Bangladesh,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Bangladesh
July,2007,Sri Lanka ,Bangladesh,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Bangladesh
October,2007,Sri Lanka ,England,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,England
October,2007,Sri Lanka ,England,R Premadasa Stadium,England ,0,Sri Lanka,England
October,2007,India ,Australia,Rajiv Gandhi International Stadium,Australia ,0,India,Australia
October,2007,Sri Lanka ,England,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,England
October,2007,Sri Lanka ,England,Rangiri Dambulla International Stadium,England ,0,Sri Lanka,England
October,2007,Sri Lanka ,England,Rangiri Dambulla International Stadium,England ,0,Sri Lanka,England
October,2007,India ,Australia,Reliance Stadium,Australia ,0,India,Australia
January,2007,India ,West Indies,Reliance Stadium,India ,1,India,West Indies
April,2007,New Zealand ,Sri Lanka,Sabina Park,Sri Lanka ,0,New Zealand,Sri Lanka
March,2007,West Indies ,Pakistan,Sabina Park,West Indies ,1,West Indies,Pakistan
November,2007,India ,Pakistan,Sawai Mansingh Stadium,Pakistan ,0,India,Pakistan
October,2007,India ,Australia,Sector 16 Stadium,India ,1,India,Australia
February,2007,New Zealand ,Australia,Seddon Park,New Zealand ,1,New Zealand,Australia
May,2007,Pakistan ,Sri Lanka,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,Sri Lanka
May,2007,Pakistan ,Sri Lanka,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,Sri Lanka
May,2007,Pakistan ,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
May,2007,Bangladesh ,India,Shere Bangla National Stadium,India ,0,Bangladesh,India
May,2007,Bangladesh ,India,Shere Bangla National Stadium,India ,0,Bangladesh,India
March,2007,West Indies ,Australia,Sir Vivian Richards Stadium,Australia ,0,West Indies,Australia
March,2007,Australia ,Bangladesh,Sir Vivian Richards Stadium,Australia ,1,Australia,Bangladesh
April,2007,Australia ,England,Sir Vivian Richards Stadium,Australia ,1,Australia,England
March,2007,West Indies ,New Zealand,Sir Vivian Richards Stadium,New Zealand ,0,West Indies,New Zealand
April,2007,Bangladesh ,New Zealand,Sir Vivian Richards Stadium,New Zealand ,0,Bangladesh,New Zealand
April,2007,England ,Sri Lanka,Sir Vivian Richards Stadium,Sri Lanka ,0,England,Sri Lanka
November,2007,South Africa ,New Zealand,St George's Park,New Zealand ,0,South Africa,New Zealand
February,2007,South Africa ,Pakistan,SuperSport Park,South Africa ,1,South Africa,Pakistan
January,2007,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
February,2007,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
February,2007,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
August,2007,England ,India,The Rose Bowl,England ,1,England,India
July,2007,England ,West Indies,Trent Bridge,West Indies ,0,England,West Indies
October,2007,India ,Australia,Vidarbha Cricket Association Ground,Australia ,0,India,Australia
January,2007,India ,West Indies,Vidarbha Cricket Association Ground,India ,1,India,West Indies
January,2007,Australia ,New Zealand,WACA Ground,Australia ,1,Australia,New Zealand
January,2007,England ,New Zealand,WACA Ground,New Zealand ,0,England,New Zealand
February,2007,South Africa ,Pakistan,Wanderers Stadium,South Africa ,1,South Africa,Pakistan
October,2007,India ,Australia,Wankhede Stadium,India ,1,India,Australia
March,2007,Australia ,South Africa,Warner Park,Australia ,1,Australia,South Africa
February,2007,New Zealand ,Australia,Westpac Stadium,New Zealand ,1,New Zealand,Australia
February,2008,Australia ,India,Adelaide Oval,Australia ,1,Australia,India
February,2008,India ,Sri Lanka,Adelaide Oval,India ,1,India,Sri Lanka
February,2008,New Zealand ,England,AMI Stadium,New Zealand ,1,New Zealand,England
June,2008,West Indies ,Australia,Arnos Vale Ground,Australia ,0,West Indies,Australia
November,2008,India ,England,Barabati Stadium,India ,1,India,England
February,2008,India ,Sri Lanka,Bellerive Oval,India ,1,India,Sri Lanka
March,2008,Australia ,India,Brisbane Cricket Ground,India ,0,Australia,India
June,2008,England ,New Zealand,County Ground ,New Zealand ,0,England,New Zealand
February,2008,New Zealand ,England,Eden Park,England ,0,New Zealand,England
April,2008,Pakistan ,Bangladesh,Gaddafi Stadium,Pakistan ,1,Pakistan,Bangladesh
April,2008,Pakistan ,Bangladesh,Gaddafi Stadium,Pakistan ,1,Pakistan,Bangladesh
June,2008,Bangladesh ,Sri Lanka,Gaddafi Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
November,2008,India ,England,Green Park,India ,1,India,England
August,2008,England ,South Africa,Headingley,England ,1,England,South Africa
November,2008,India ,England,Holkar Cricket Stadium,India ,1,India,England
April,2008,Pakistan ,Bangladesh,Iqbal Stadium,Pakistan ,1,Pakistan,Bangladesh
June,2008,England ,New Zealand,Kennington Oval,New Zealand ,0,England,New Zealand
August,2008,England ,South Africa,Kennington Oval,England ,1,England,South Africa
February,2008,South Africa ,West Indies,Kingsmead,South Africa ,1,South Africa,West Indies
June,2008,England ,New Zealand,Lord's,New Zealand ,0,England,New Zealand
August,2008,England ,South Africa,Lord's,England ,1,England,South Africa
November,2008,India ,England,M Chinnaswamy Stadium,India ,1,India,England
November,2008,India ,England,Madhavrao Scindia Cricket Ground,India ,1,India,England
February,2008,India ,Sri Lanka,Manuka Oval,Sri Lanka ,0,India,Sri Lanka
August,2008,Australia ,Bangladesh,Marrara Cricket Ground,Australia ,1,Australia,Bangladesh
September,2008,Australia ,Bangladesh,Marrara Cricket Ground,Australia ,1,Australia,Bangladesh
September,2008,Australia ,Bangladesh,Marrara Cricket Ground,Australia ,1,Australia,Bangladesh
February,2008,Australia ,Sri Lanka,Melbourne Cricket Ground,Australia ,1,Australia,Sri Lanka
February,2008,Australia ,India,Melbourne Cricket Ground,India ,0,Australia,India
February,2008,Australia ,Sri Lanka,Melbourne Cricket Ground,Sri Lanka ,0,Australia,Sri Lanka
April,2008,Pakistan ,Bangladesh,Multan Cricket Stadium,Pakistan ,1,Pakistan,Bangladesh
June,2008,West Indies ,Australia,National Cricket Stadium,Australia ,0,West Indies,Australia
June,2008,West Indies ,Australia,National Cricket Stadium,Australia ,0,West Indies,Australia
June,2008,Pakistan ,India,National Stadium,India ,0,Pakistan,India
June,2008,Bangladesh ,India,National Stadium,India ,0,Bangladesh,India
July,2008,India ,Sri Lanka,National Stadium,India ,1,India,Sri Lanka
April,2008,Pakistan ,Bangladesh,National Stadium,Pakistan ,1,Pakistan,Bangladesh
July,2008,Pakistan ,India,National Stadium,Pakistan ,1,Pakistan,India
July,2008,Pakistan ,Bangladesh,National Stadium,Pakistan ,1,Pakistan,Bangladesh
June,2008,Pakistan ,Sri Lanka,National Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
June,2008,Bangladesh ,Sri Lanka,National Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
